movieID,countryID
672,US
673,GB
673,US
674,GB
674,US
675,GB
675,US
676,US
678,US
679,US
680,US
681,GB
681,US
682,GB
682,US
686,US
687,GB
687,US
688,US
690,FR
691,US
691,GB
692,US
693,US
694,US
694,GB
695,US
696,US
698,GB
699,US
699,GB
700,GB
701,US
702,US
703,US
704,GB
705,US
707,GB
708,GB
709,US
709,GB
710,GB
710,US
711,US
712,GB
712,US
713,AU
713,NZ
713,FR
714,GB
714,US
742,IT
742,DK
742,NO
742,SE
744,US
745,US
746,GB
746,FR
746,CN
746,IT
747,GB
747,FR
747,US
752,US
752,GB
752,DE
754,US
755,US
756,US
759,US
762,GB
763,NZ
764,US
765,US
766,US
767,US
767,GB
768,GB
768,CZ
768,US
769,US
770,US
771,US
772,US
773,US
775,FR
776,FR
777,FR
778,FR
780,FR
782,US
783,IN
783,GB
784,GB
784,CZ
784,FR
786,US
787,US
787,CH
788,US
789,CS
790,US
791,FR
791,CA
791,US
792,GB
792,US
793,US
794,US
795,DE
795,US
796,US
797,SE
800,MX
801,US
802,GB
802,US
803,FR
804,US
805,US
806,US
807,US
808,US
809,US
810,US
811,US
812,US
813,US
814,GB
814,US
816,DE
816,US
817,US
818,US
819,US
820,US
820,FR
821,US
823,JP
824,US
824,AU
825,US
826,US
826,GB
827,FR
828,US
829,US
830,US
831,US
832,DE
833,IT
834,US
837,CA
838,US
839,US
840,US
841,US
842,US
842,AU
843,NL
843,FR
843,HK
844,DE
844,IT
844,CN
844,FR
844,HK
845,US
846,US
846,CA
847,US
848,US
849,IT
849,US
849,GB
849,ES
850,US
850,CA
851,GB
853,US
853,FR
853,IE
853,GB
853,DE
854,US
855,US
855,GB
856,US
857,US
858,US
859,US
859,GB
860,US
861,US
862,US
863,US
864,US
865,US
866,GB
866,US
867,US
868,GB
868,ZA
869,US
870,JP
871,US
872,US
873,US
874,GB
877,US
879,US
880,GB
880,NL
880,BE
881,US
883,US
884,CA
884,US
884,GB
886,US
887,US
888,US
889,US
891,US
892,FR
895,SU
896,IN
897,IN
898,US
900,US
901,US
902,DE
902,GB
902,ES
902,BE
902,FR
903,US
907,US
907,IT
907,GB
909,US
910,US
911,US
912,US
913,US
914,US
916,US
918,US
919,JP
920,US
921,US
922,US
922,DE
922,JP
923,US
923,IT
924,JP
924,FR
924,CA
924,US
925,US
926,US
927,US
928,US
929,JP
929,US
931,IT
931,GB
934,FR
935,GB
935,US
936,US
938,DE
938,IT
938,ES
939,US
940,GB
941,US
942,US
943,US
944,US
947,GB
948,US
949,US
950,US
951,US
953,US
954,US
955,US
956,US
957,US
961,US
962,US
963,US
965,US
966,US
967,US
968,US
975,US
976,US
978,GB
978,US
979,FR
980,US
981,US
982,US
983,GB
983,US
984,US
985,US
987,US
988,US
990,US
991,GB
992,US
993,GB
994,US
994,GB
995,US
996,US
1018,FR
1018,US
1023,DK
1023,DE
1024,NZ
1040,FR
1040,IT
1049,US
1049,FR
1050,CN
1051,US
1052,IT
1052,US
1052,GB
1058,US
1059,JP
1073,US
1075,DE
1075,YU
1075,GR
1075,FR
1075,AT
1088,NZ
1088,DE
1089,US
1089,JP
1090,US
1090,DE
1091,US
1091,CA
1092,GB
1093,FR
1103,US
1114,DE
1114,MN
1116,ES
1116,GB
1116,IE
1116,IT
1116,FR
1116,DE
1116,BE
1116,CH
1123,GB
1123,US
1123,FR
1123,ZA
1124,GB
1124,US
1125,US
1126,GB
1126,NZ
1162,US
1164,FR
1164,JP
1164,US
1164,MX
1164,MA
1165,IT
1165,GB
1165,FR
1213,US
1245,GB
1245,US
1246,US
1247,US
1247,FR
1248,IT
1248,FR
1248,CZ
1248,GB
1248,US
1249,US
1249,CA
1250,US
1251,US
1251,JP
1255,JP
1255,KR
1257,US
1259,GB
1259,US
1262,US
1265,US
1266,US
1267,US
1268,GB
1271,CA
1271,US
1271,BG
1272,GB
1273,US
1273,HK
1277,DE
1277,HU
1278,FR
1278,GB
1278,BE
1278,IT
1278,US
1280,JP
1280,KR
1281,GB
1282,US
1358,US
1358,GB
1358,JP
1359,CA
1359,US
1360,MX
1360,CA
1360,US
1364,ES
1364,FR
1365,US
1366,US
1367,US
1368,US
1369,US
1369,MX
1370,US
1371,US
1372,DE
1372,US
1374,US
1375,US
1376,DE
1376,GB
1376,ES
1377,US
1378,US
1378,NL
1379,FR
1379,FI
1379,DE
1380,US
1381,US
1381,CA
1382,US
1389,US
1391,MX
1392,US
1392,IN
1396,SU
1398,SU
1402,US
1405,US
1406,US
1407,GB
1407,FR
1407,CZ
1408,US
1408,FR
1408,IT
1408,DE
1410,US
1411,US
1412,US
1413,US
1414,FR
1414,ES
1414,FI
1415,US
1415,NL
1417,ES
1417,US
1417,MX
1420,GB
1420,IE
1422,HK
1422,US
1427,FR
1427,US
1427,BE
1427,ES
1427,DE
1428,US
1429,US
1430,US
1430,CA
1430,DE
1433,ES
1433,MX
1435,US
1439,US
1440,US
1443,US
1444,US
1450,CN
1450,JP
1450,HK
1450,FR
1450,US
1452,US
1480,US
1483,US
1485,GB
1487,US
1487,CZ
1491,US
1492,US
1492,FR
1492,ES
1492,GB
1493,US
1494,US
1494,CN
1494,HK
1495,US
1495,GB
1495,ES
1495,DE
1497,HK
1497,US
1498,HK
1498,US
1499,US
1499,HK
1523,GB
1523,US
1535,US
1535,JP
1535,DE
1535,FR
1535,HK
1537,US
1538,US
1541,US
1541,GB
1542,US
1544,GB
1544,US
1544,DE
1546,US
1547,US
1548,GB
1548,US
1548,DE
1550,US
1551,US
1552,US
1553,FR
1554,DE
1554,US
1555,ES
1555,FR
1561,FR
1562,ES
1562,GB
1563,FR
1567,FR
1571,GB
1571,US
1572,US
1573,US
1574,CA
1574,DE
1574,US
1576,DE
1576,GB
1576,CA
1576,FR
1577,GB
1577,US
1577,CA
1578,US
1579,GB
1579,US
1580,US
1581,US
1583,DE
1584,DE
1584,US
1585,US
1586,US
1587,US
1588,US
1591,DE
1592,US
1593,US
1593,GB
1594,GB
1594,US
1595,US
1595,CA
1595,DE
1597,US
1598,US
1599,US
1599,DE
1600,FR
1600,NO
1600,PL
1607,US
1610,GB
1613,GB
1613,CA
1618,GB
1619,US
1620,FR
1620,US
1621,US
1623,US
1624,US
1628,FR
1630,US
1632,US
1633,US
1634,US
1634,FR
1635,US
1636,US
1636,DE
1637,US
1639,US
1640,DE
1640,US
1641,US
1642,US
1643,IT
1643,FR
1644,US
1645,US
1646,US
1646,DE
1647,US
1648,US
1649,US
1652,DE
1653,CL
1653,PE
1653,FR
1653,DE
1653,US
1653,GB
1653,AR
1654,GB
1654,US
1656,US
1656,MX
1659,DE
1662,US
1665,US
1666,US
1667,FR
1667,US
1669,US
1672,FR
1675,FR
1677,US
1678,JP
1680,JP
1682,JP
1683,US
1685,US
1687,US
1688,US
1689,GB
1689,FR
1689,IT
1689,LI
1690,US
1690,CZ
1691,CZ
1691,US
1694,US
1696,US
1696,DE
1700,US
1701,US
1705,US
1710,US
1712,US
1713,US
1714,GB
1715,US
1716,FR
1717,US
1722,GB
1722,US
1722,FR
1724,US
1725,US
1726,US
1727,US
1729,US
1729,HK
1729,CN
1730,US
1730,FR
1730,PL
1734,US
1735,DE
1735,HK
1735,CN
1735,CA
1735,US
1738,US
1770,IE
1770,US
1770,GB
1771,US
1774,US
1774,GB
1775,CA
1775,US
1776,US
1777,US
1779,US
1781,US
1783,US
1783,GB
1783,TH
1786,FR
1786,DE
1786,IT
1788,US
1791,DE
1791,AT
1791,FR
1792,US
1793,US
1802,DE
1802,FR
1807,US
1808,GB
1808,US
1809,DE
1809,US
1811,US
1811,FR
1813,DE
1813,US
1816,US
1817,US
1819,US
1824,US
1825,US
1830,FR
1830,US
1830,DE
1831,US
1832,US
1832,GB
1833,US
1843,US
1844,US
1844,GB
1845,FR
1845,DE
1847,US
1850,US
1852,US
1853,US
1857,US
1857,JP
1858,US
1859,US
1865,GB
1865,US
1878,US
1879,US
1880,US
1883,US
1884,US
1885,US
1887,US
1887,JP
1887,FR
1890,US
1891,US
1892,US
1893,US
1894,US
1895,US
1900,US
1900,DE
1901,US
1902,FR
1902,IT
1902,ES
1903,US
1903,ES
1904,FR
1904,US
1904,JP
1907,GB
1907,US
1908,US
1909,US
1911,US
1913,IT
1913,ES
1913,FR
1913,US
1919,GB
1919,CA
1919,US
1921,US
1923,FR
1923,US
1924,GB
1924,US
1926,IR
1926,IL
1926,GB
1926,IN
1926,BA
1926,EG
1926,JP
1926,FR
1926,BF
1926,US
1926,MX
1927,US
1930,US
1931,US
1933,US
1933,FR
1933,ES
1934,US
1934,GB
1939,US
1941,US
1942,GB
1944,US
1945,US
1946,CA
1946,GB
1946,FR
1947,DE
1947,US
1948,US
1949,US
1950,US
1951,US
1951,FR
1951,IT
1951,DK
1951,SE
1951,NL
1951,GB
1951,DE
1954,US
1954,CA
1955,US
1956,AR
1956,US
1956,GB
1957,US
1958,IT
1958,FR
1959,GB
1959,US
1961,US
1963,KR
1963,JP
1965,US
1966,IT
1966,IN
1966,FR
1966,US
1966,TH
1966,MA
1966,NL
1966,DE
1966,GB
1967,US
1968,US
1969,FR
1969,MX
1969,US
1970,US
1976,US
1978,GB
1979,US
1979,DE
1979,GB
1985,CN
1985,GB
1985,DE
1985,US
1988,GB
1988,US
1989,CN
1989,US
1989,FR
1989,HK
1990,FR
1990,US
1991,US
1992,US
1993,FR
1993,IT
1995,JP
1995,GB
1995,US
1995,DE
1996,US
1996,GB
1996,DE
1996,JP
1996,HK
1997,GB
1997,FR
1999,US
2000,PE
2000,MX
2000,DE
2001,US
2005,US
2006,US
2007,US
2009,BE
2009,RO
2011,FR
2011,US
2013,FR
2013,US
2014,TR
2014,DE
2018,US
2018,DE
2018,GB
2019,US
2020,US
2021,FR
2021,GB
2022,US
2023,MA
2023,US
2024,US
2024,DE
2026,US
2026,DE
2028,US
2029,FR
2033,US
2034,US
2038,US
2038,GB
2039,US
2042,US
2043,DE
2043,CA
2043,US
2044,US
2044,KR
2045,US
2046,US
2047,US
2048,DE
2048,US
2054,US
2055,US
2055,GB
2056,US
2057,FR
2057,US
2058,US
2059,US
2061,DK
2062,US
2064,US
2067,FR
2067,CA
2067,US
2069,CA
2069,US
2071,US
2074,US
2075,US
2077,US
2080,US
2082,US
2084,GB
2084,US
2085,US
2086,US
2087,US
2088,GB
2088,US
2099,US
2099,NL
2100,US
2103,US
2105,US
2107,US
2108,US
2109,US
2110,JP
2110,FR
2112,US
2114,JP
2114,US
2116,US
2117,DE
2118,US
2119,US
2122,US
2123,US
2124,US
2133,US
2134,US
2135,US
2140,FR
2140,US
2142,US
2144,US
2148,US
2149,DE
2149,US
2152,US
2155,US
2157,US
2160,US
2161,US
2162,US
2163,US
2164,FR
2164,US
2171,US
2176,US
2179,US
2182,US
2185,US
2193,US
2196,US
2196,GB
2196,DE
2207,DE
2207,US
2210,US
2210,GB
2212,US
2241,DE
2246,US
2251,US
2251,DE
2251,CH
2252,GB
2252,US
2252,CA
2253,DE
2253,US
2255,US
2259,FR
2259,DE
2259,DK
2259,PT
2259,US
2260,US
2263,US
2266,FR
2267,US
2268,US
2268,GB
2269,US
2269,RU
2270,US
2270,GB
2270,IS
2274,US
2275,DE
2275,US
2277,US
2277,DE
2280,US
2287,US
2288,US
2288,GB
2289,US
2289,RO
2289,IT
2289,GB
2290,US
2290,FR
2290,HU
2291,US
2292,US
2293,US
2294,US
2295,US
2300,US
2302,US
2307,US
2309,US
2310,US
2312,US
2312,DE
2312,CA
2313,US
2320,US
2321,US
2322,US
2323,US
2330,FR
2332,FR
2334,FR
2335,FR
2355,US
2357,US
2359,US
2360,GB
2360,FR
2362,US
2370,US
2383,FR
2383,US
2395,ES
2395,IT
2395,FR
2395,DE
2395,BE
2428,US
2436,US
2438,US
2440,KR
2447,US
2453,US
2454,PL
2454,US
2454,SI
2454,CZ
2469,ES
2470,FR
2470,ES
2470,PT
2486,HU
2486,US
2486,GB
2493,US
2501,DE
2501,US
2501,CZ
2502,US
2502,DE
2503,ES
2503,FR
2503,DE
2503,US
2517,JP
2528,FR
2539,US
2546,FR
2546,IT
