nconst,primaryName,birthYear,deathYear,primaryProfession
nm0169505,Joel Cohen,\N,\N,"writer,actor,producer"
nm0000158,Tom Hanks,1956,\N,"producer,actor,soundtrack"
nm0000741,Tim Allen,1953,\N,"actor,producer,miscellaneous"
nm0725543,Don Rickles,1926,2017,"actor,soundtrack,writer"
nm0001815,Jim Varney,1949,2000,"actor,soundtrack,writer"
nm0005124,John Lasseter,1957,\N,"producer,writer,director"
nm0230032,Pete Docter,1968,\N,"producer,writer,director"
nm0004056,Andrew Stanton,1965,\N,"writer,actor,producer"
nm0710020,Joe Ranft,1960,2005,"writer,actor,miscellaneous"
nm0923736,Joss Whedon,1964,\N,"writer,producer,director"
nm0472256,Scott Kroopf,\N,\N,"producer,production_manager,miscellaneous"
nm0000245,Robin Williams,1951,2014,"actor,soundtrack,writer"
nm0000379,Kirsten Dunst,1982,\N,"actress,producer,soundtrack"
nm0001372,Bonnie Hunt,1961,\N,"producer,writer,actress"
nm0404993,Jonathan Hyde,1948,\N,actor
nm0002653,Joe Johnston,1950,\N,"director,visual_effects,producer"
nm0378144,Jonathan Hensleigh,1959,\N,"writer,director,producer"
nm0852430,Greg Taylor,\N,\N,"writer,producer,miscellaneous"
nm0833164,Jim Strain,\N,\N,"writer,producer,script_department"
nm0885575,Chris Van Allsburg,1949,\N,"writer,producer,art_department"
nm0005714,Tak Fujimoto,1939,\N,"cinematographer,camera_department,actor"
nm0000527,Walter Matthau,1920,2000,"actor,soundtrack,director"
nm0000493,Jack Lemmon,1925,2001,"actor,soundtrack,producer"
nm0000268,Ann-Margret,1941,\N,"actress,soundtrack"
nm0000047,Sophia Loren,1934,\N,"actress,soundtrack"
nm0222043,Howard Deutch,1950,\N,"director,producer,miscellaneous"
nm0425756,Mark Steven Johnson,\N,\N,"writer,director,producer"
nm0075828,Richard C. Berman,\N,\N,"producer,executive"
nm0204862,John Davis,1954,\N,"producer,production_manager,executive"
nm0006293,Alan Silvestri,1950,\N,"composer,soundtrack,music_department"
nm0004892,Kenneth 'Babyface' Edmonds,1959,\N,"soundtrack,music_department,composer"
nm0001365,Whitney Houston,1963,2012,"music_artist,soundtrack,actress"
nm0000291,Angela Bassett,1958,\N,"actress,producer,director"
nm0222643,Loretta Devine,1949,\N,"actress,soundtrack,producer"
nm0005375,Lela Rochon,1964,\N,"actress,producer"
nm0001845,Forest Whitaker,1961,\N,"actor,producer,director"
nm0573334,Terry McMillan,1951,\N,"writer,producer,actress"
nm0060103,Ron Bass,1942,\N,"writer,producer,actor"
nm0771834,Deborah Schindler,\N,\N,"producer,miscellaneous"
nm0842470,Ezra Swerdlow,1953,2018,"producer,production_manager,assistant_director"
nm0204567,Elliot Davis,1948,\N,"cinematographer,camera_department,visual_effects"
nm0000188,Steve Martin,1945,\N,"writer,actor,producer"
nm0000473,Diane Keaton,1946,\N,"actress,producer,director"
nm0001737,Martin Short,1950,\N,"actor,writer,producer"
nm0931090,Kimberly Williams-Paisley,1971,\N,"actress,producer,director"
nm0796124,Charles Shyer,\N,\N,"writer,producer,assistant_director"
nm0352443,Albert Hackett,1900,1995,"writer,actor,soundtrack"
nm0329304,Frances Goodrich,1890,1984,"writer,soundtrack"
nm0583600,Nancy Meyers,1949,\N,"writer,producer,director"
nm0325549,William Goldenberg,1959,\N,"editor,editorial_department,director"
nm0000199,Al Pacino,1940,\N,"actor,director,soundtrack"
nm0000134,Robert De Niro,1943,\N,"actor,producer,soundtrack"
nm0000174,Val Kilmer,1959,\N,"actor,soundtrack,producer"
nm0000685,Jon Voight,1938,\N,"actor,producer,writer"
nm0000520,Michael Mann,1943,\N,"producer,writer,director"
nm0513165,Art Linson,1942,\N,"producer,writer,director"
nm0006106,Elliot Goldenthal,1954,\N,"music_department,composer,soundtrack"
nm0005883,Dante Spinotti,1943,\N,"cinematographer,camera_department,actor"
nm0117779,Pasquale Buba,1946,2018,"editor,miscellaneous,editorial_department"
nm0713128,David Rayfiel,1923,2011,"writer,miscellaneous,script_department"
nm0000148,Harrison Ford,1942,\N,"actor,writer,producer"
nm0000566,Julia Ormond,1965,\N,"actress,producer"
nm0001427,Greg Kinnear,1963,\N,"actor,producer,writer"
nm0545408,Nancy Marchand,1928,2000,actress
nm0001628,Sydney Pollack,1934,2008,"director,producer,actor"
nm0853138,Samuel A. Taylor,1912,2000,"writer,director"
nm0000697,Billy Wilder,1906,2002,"writer,director,producer"
nm0499626,Ernest Lehman,1915,2005,"writer,producer,soundtrack"
nm0070660,Barbara Benedek,\N,\N,"writer,miscellaneous"
nm0548257,Laurence Mark,\N,\N,"producer,miscellaneous,executive"
nm0001795,Jonathan Taylor Thomas,1981,\N,"actor,director,soundtrack"
nm0000605,Brad Renfro,1982,2008,"actor,soundtrack,writer"
nm0734236,Charles Rocket,1949,2005,"actor,soundtrack"
nm0777760,Eric Schweig,1967,\N,actor
nm0382072,Peter Hewitt,1962,\N,"director,writer,producer"
nm0878494,Mark Twain,1835,1910,"writer,actor,miscellaneous"
nm0814085,Stephen Sommers,1962,\N,"producer,writer,director"
nm0521739,David Loughery,\N,\N,"writer,producer,script_department"
nm0049689,John Baldecchi,\N,\N,"producer,executive,director"
nm0002201,John Debney,1956,\N,"composer,music_department,soundtrack"
nm0000241,Jean-Claude Van Damme,1960,\N,"actor,writer,producer"
nm0000959,Powers Boothe,1948,2017,"actor,soundtrack"
nm0000855,Raymond J. Barry,1939,\N,actor
nm0942925,Whittni Wright,1987,\N,"actress,soundtrack"
nm0001382,Peter Hyams,1943,\N,"director,cinematographer,writer"
nm0049945,Karen Elise Baldwin,1964,\N,"producer,actress,writer"
nm0704164,Gene Quintano,1946,\N,"writer,director,producer"
nm0049920,Howard Baldwin,\N,\N,producer
nm0224537,Moshe Diamant,1946,\N,"producer,miscellaneous,writer"
nm0110483,Barbara Broccoli,1960,\N,"producer,assistant_director,executive"
nm0000112,Pierce Brosnan,1953,\N,"actor,producer,soundtrack"
nm0000293,Sean Bean,1959,\N,"actor,producer,animation_department"
nm0001713,Izabella Scorupco,1970,\N,actress
nm0000463,Famke Janssen,1964,\N,"actress,writer,director"
nm0132709,Martin Campbell,1943,\N,"director,producer,actor"
nm0001220,Ian Fleming,1908,1964,"writer,miscellaneous"
nm0289833,Michael France,1962,2013,writer
nm0128997,Jeffrey Caine,1944,\N,"writer,actor"
nm0270761,Bruce Feirstein,1956,\N,"writer,producer,director"
nm0453344,Lilly Kilvert,1950,\N,"production_designer,art_director,location_management"
nm0000140,Michael Douglas,1944,\N,"actor,producer,soundtrack"
nm0000906,Annette Bening,1958,\N,"actress,soundtrack"
nm0000640,Martin Sheen,1940,\N,"actor,producer,soundtrack"
nm0000150,Michael J. Fox,1961,\N,"actor,producer,miscellaneous"
nm0001661,Rob Reiner,1947,\N,"actor,writer,producer"
nm0815070,Aaron Sorkin,1961,\N,"writer,producer,actor"
nm0003299,Marc Shaiman,1959,\N,"soundtrack,music_department,composer"
nm0005868,John Seale,1942,\N,"camera_department,cinematographer,director"
nm0500371,Robert Leighton,\N,\N,"editor,editorial_department,sound_department"
nm0918891,Adam Weiss,\N,\N,"editor,editorial_department,sound_department"
nm0000558,Leslie Nielsen,1926,2010,"actor,producer,soundtrack"
nm0000316,Mel Brooks,1926,\N,"actor,writer,soundtrack"
nm0001493,Peter MacNicol,1954,\N,"actor,soundtrack,director"
nm0001836,Steven Weber,1961,\N,"actor,producer,soundtrack"
nm0209918,Rudy De Luca,\N,\N,"writer,actor,producer"
nm0352229,Steve Haberman,\N,\N,"writer,producer,editor"
nm0831290,Bram Stoker,1847,1912,"writer,miscellaneous"
nm0006186,Hummie Mann,\N,\N,"music_department,composer,soundtrack"
nm0642672,Michael D. O'Shea,\N,\N,"cinematographer,camera_department"
nm9054338,Steve Hickner,\N,\N,"art_department,animation_department,director"
nm0000102,Kevin Bacon,1958,\N,"actor,producer,soundtrack"
nm0001364,Bob Hoskins,1942,2014,"actor,soundtrack,director"
nm0000403,Bridget Fonda,1964,\N,"actress,soundtrack"
nm0191906,Jim Cummings,1952,\N,"actor,soundtrack,music_department"
nm0920425,Simon Wells,1961,\N,"art_department,animation_department,director"
nm0748429,Cliff Ruby,\N,\N,"writer,miscellaneous,producer"
nm0504327,Elana Lesser,\N,\N,"writer,miscellaneous,producer"
nm0169325,David Steven Cohen,\N,\N,"writer,producer,miscellaneous"
nm0776107,Roger S.H. Schulman,\N,\N,"producer,writer,miscellaneous"
nm0002354,John Williams,1932,\N,"soundtrack,music_department,composer"
nm0000164,Anthony Hopkins,1937,\N,"actor,soundtrack,composer"
nm0000260,Joan Allen,1956,\N,"actress,soundtrack,producer"
nm0000438,Ed Harris,1950,\N,"actor,producer,director"
nm0000231,Oliver Stone,1946,\N,"director,producer,writer"
nm0729151,Stephen J. Rivele,1949,\N,"writer,producer"
nm0929349,Christopher Wilkinson,1950,\N,"writer,producer,assistant_director"
nm0870106,Clayton Townsend,\N,\N,"producer,production_manager,location_management"
nm0883351,Andrew G. Vajna,1944,2019,"producer,miscellaneous"
nm0455207,Robert King,\N,\N,"writer,producer,director"
nm0000133,Geena Davis,1956,\N,"actress,producer,soundtrack"
nm0000546,Matthew Modine,1959,\N,"actor,producer,director"
nm0001449,Frank Langella,1938,\N,"actor,soundtrack,producer"
nm0001999,Maury Chaykin,1949,2010,"actor,miscellaneous,assistant_director"
nm0001317,Renny Harlin,1959,\N,"producer,director,writer"
nm0065847,Michael Frost Beckner,1963,\N,"writer,producer,miscellaneous"
nm0331079,James Gorman,1961,\N,"producer,writer"
nm0262595,Bruce A. Evans,1946,\N,"writer,producer,director"
nm0317279,Raynold Gideon,\N,\N,"actor,writer,producer"
nm0274721,Dante Ferretti,1943,\N,"production_designer,art_department,set_decorator"
nm0000232,Sharon Stone,1958,\N,"actress,producer,soundtrack"
nm0000582,Joe Pesci,1943,\N,"actor,soundtrack"
nm0000249,James Woods,1947,\N,"actor,producer,director"
nm0000217,Martin Scorsese,1942,\N,"producer,director,actor"
nm0683380,Nicholas Pileggi,1933,\N,"writer,producer"
nm0208381,Barbara De Fina,\N,\N,"producer,production_manager,miscellaneous"
nm0724744,Robert Richardson,1955,\N,"cinematographer,camera_department,miscellaneous"
nm0774817,Thelma Schoonmaker,1940,\N,"editor,editorial_department,producer"
nm0820163,Tim Squyres,1959,\N,"editor,editorial_department,sound_department"
nm0000668,Emma Thompson,1959,\N,"actress,writer,soundtrack"
nm0000701,Kate Winslet,1975,\N,"actress,producer,soundtrack"
nm0281424,James Fleet,1952,\N,"actor,soundtrack"
nm0929489,Tom Wilkinson,1948,2023,"actor,soundtrack"
nm0000487,Ang Lee,1954,\N,"director,producer,writer"
nm0000807,Jane Austen,1775,1817,writer
nm0233386,Lindsay Doran,1948,\N,"producer,actress,assistant_director"
nm0236462,Patrick Doyle,1953,\N,"actor,composer,soundtrack"
nm0183533,Michael Coulter,1952,\N,"cinematographer,camera_department"
nm0004744,Lawrence Bender,1957,\N,"producer,camera_department,actor"
nm0000619,Tim Roth,1961,\N,"actor,producer,soundtrack"
nm0000104,Antonio Banderas,1960,\N,"actor,soundtrack,producer"
nm0205423,Sammi Davis,1964,\N,"actress,camera_department,producer"
nm0004866,Amanda De Cadenet,1972,\N,"actress,producer,director"
nm0025978,Allison Anders,1954,\N,"director,writer,producer"
nm0734319,Alexandre Rockwell,1956,\N,"director,writer,producer"
nm0001675,Robert Rodriguez,1968,\N,"producer,writer,director"
nm0000233,Quentin Tarantino,1963,\N,"writer,actor,producer"
nm0005062,Chuck Jones,1912,2002,"animation_department,director,writer"
nm0132695,Malcolm Campbell,\N,\N,"editor,editorial_department"
nm0000120,Jim Carrey,1962,\N,"actor,writer,soundtrack"
nm0573862,Ian McNeice,1950,\N,"actor,soundtrack"
nm0001003,Simon Callow,1949,\N,"actor,writer,soundtrack"
nm0264330,Maynard Eziashi,1965,\N,actor
nm0644203,Steve Oedekerk,1961,\N,"writer,producer,actor"
nm0077062,Jack Bernstein,\N,\N,"producer,writer,miscellaneous"
nm0732708,James G. Robinson,1935,\N,"producer,miscellaneous,executive"
nm0006077,Robert Folk,\N,\N,"composer,music_department,soundtrack"
nm0004241,Donald E. Thorin,1934,2016,"cinematographer,camera_department,assistant_director"
nm0005307,Jon Peters,1945,\N,"producer,actor,make_up_department"
nm0000648,Wesley Snipes,1962,\N,"actor,producer,soundtrack"
nm0000437,Woody Harrelson,1961,\N,"actor,producer,soundtrack"
nm0000182,Jennifer Lopez,1969,\N,"music_artist,producer,actress"
nm0086706,Robert Blake,1933,2023,"actor,writer,producer"
nm0747849,Joseph Ruben,1950,\N,"director,writer,producer"
nm0724514,Doug Richardson,\N,\N,"writer,actor,producer"
nm0134635,Neil Canton,1948,\N,"producer,miscellaneous"
nm0287080,Christine Peters,1969,\N,producer
nm0527099,John Lurie,1952,\N,"soundtrack,music_department,actor"
nm0000432,Gene Hackman,1930,\N,"actor,soundtrack,producer"
nm0000623,Rene Russo,1954,\N,"actress,producer"
nm0000362,Danny DeVito,1944,\N,"actor,producer,director"
nm0000237,John Travolta,1954,\N,"actor,soundtrack,producer"
nm0001756,Barry Sonnenfeld,1953,\N,"producer,director,cinematographer"
nm0001465,Elmore Leonard,1925,2013,"writer,producer,miscellaneous"
nm0291082,Scott Frank,1960,\N,"producer,writer,director"
nm0787834,Michael Shamberg,1945,\N,"producer,miscellaneous,editor"
nm0792049,Stacey Sher,1962,\N,"producer,actress"
nm0002366,Christopher Young,\N,\N,"composer,music_department,soundtrack"
nm0000244,Sigourney Weaver,1949,\N,"actress,producer,soundtrack"
nm0000456,Holly Hunter,1958,\N,"actress,producer,soundtrack"
nm0000551,Dermot Mulroney,1963,\N,"actor,soundtrack,music_department"
nm0001530,William McNamara,\N,\N,"actor,producer,director"
nm0000750,Jon Amiel,1948,\N,"director,producer,writer"
nm0081189,Ann Biderman,1951,\N,"writer,producer,miscellaneous"
nm0535189,David Madsen,\N,\N,writer
nm0586969,Arnon Milchan,1944,\N,"producer,miscellaneous,actor"
nm0850516,Mark Tarlov,1952,2021,"producer,director"
nm0000230,Sylvester Stallone,1946,\N,"actor,producer,writer"
nm0000194,Julianne Moore,1960,\N,"actress,producer,soundtrack"
nm0205863,Anatoli Davydov,\N,\N,"actor,miscellaneous,producer"
nm0001149,Richard Donner,1930,2021,"director,producer,actor"
nm0905152,Lilly Wachowski,1967,\N,"writer,producer,director"
nm0905154,Lana Wachowski,1965,\N,"writer,producer,director"
nm0001338,Brian Helgeland,\N,\N,"writer,director,script_department"
nm0384190,Dennis M. Hill,\N,\N,"editor,editorial_department"
nm0005460,Mary Steenburgen,1953,\N,"actress,soundtrack,producer"
nm0001218,Sean Patrick Flanery,1965,\N,"actor,producer,writer"
nm0000448,Lance Henriksen,1940,\N,"actor,producer,miscellaneous"
nm0000156,Jeff Goldblum,1952,\N,"actor,soundtrack,producer"
nm0759207,Victor Salva,1958,\N,"writer,director,producer"
nm0083696,Roger Birnbaum,\N,\N,"producer,production_manager,actor"
nm0342841,Daniel Grodnik,\N,\N,"producer,writer,assistant_director"
nm0000025,Jerry Goldsmith,1929,2004,"music_department,soundtrack,composer"
nm0956195,Jerzy Zielinski,1950,\N,"cinematographer,camera_department,miscellaneous"
nm0808780,John Smith,\N,\N,"editor,editorial_department,producer"
nm0000115,Nicolas Cage,1964,\N,"actor,producer,soundtrack"
nm0000223,Elisabeth Shue,1963,\N,"actress,producer,soundtrack"
nm0001696,Julian Sands,1958,2023,"actor,assistant_director,soundtrack"
nm0507659,Richard Lewis,1947,\N,"actor,writer,producer"
nm0001214,Mike Figgis,1948,\N,"director,writer,composer"
nm3840714,John O'Brien,1960,1994,writer
nm0147416,Lila Cazès,\N,2017,"producer,writer"
nm0829176,Annie Stewart,\N,\N,"producer,executive"
nm0002336,Declan Quinn,1957,\N,"cinematographer,camera_department,producer"
nm0424900,David Johnson,1954,\N,"cinematographer,camera_department,director"
nm0000401,Laurence Fishburne,1961,\N,"actor,producer,director"
nm0000110,Kenneth Branagh,1960,\N,"actor,producer,director"
nm0001393,Irène Jacob,1966,\N,"actress,executive"
nm0662511,Nathaniel Parker,1962,\N,"actor,producer"
nm0662529,Oliver Parker,1960,\N,"actor,director,producer"
nm0000636,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
nm0057655,David Barron,1954,\N,"producer,production_manager,location_management"
nm0736312,Luc Roeg,1962,\N,"producer,assistant_director,actor"
nm0596495,Charlie Mole,\N,\N,"composer,soundtrack,actor"
nm0131311,Jacqueline Cambas,\N,\N,"editor,editorial_department,miscellaneous"
nm0000207,Christina Ricci,1980,\N,"actress,producer,soundtrack"
nm0000193,Demi Moore,1962,\N,"actress,producer,soundtrack"
nm0005280,Rosie O'Donnell,1962,\N,"writer,producer,actress"
nm0000301,Thora Birch,1982,\N,"actress,producer,director"
nm0322128,Lesli Linka Glatter,1953,\N,"director,producer,miscellaneous"
nm0454783,I. Marlene King,1962,\N,"producer,writer,director"
nm0865297,Suzanne Todd,1965,\N,"producer,miscellaneous,executive"
nm0006056,Cliff Eidelman,1964,\N,"composer,music_department,soundtrack"
nm0825336,Ueli Steiger,1954,\N,"cinematographer,camera_department"
nm0198459,John Daly,1955,\N,"cinematographer,camera_department"
nm0740500,Amanda Root,1963,\N,"actress,soundtrack,miscellaneous"
nm0001354,Ciarán Hinds,1953,\N,"actor,soundtrack"
nm0281453,Susan Fleetwood,1944,1995,actress
nm0714874,Corin Redgrave,1939,2010,"actor,soundtrack"
nm0585011,Roger Michell,1956,2021,"director,writer,producer"
nm0213116,Nick Dear,1955,\N,writer
nm0277974,Fiona Finlay,\N,\N,"producer,script_department,miscellaneous"
nm0760255,Jeremy Sams,1957,\N,"composer,music_department,writer"
nm0372910,María Victoria Hebrero,\N,\N,"miscellaneous,production_manager,camera_department"
nm0000579,Ron Perlman,1950,\N,"actor,producer,soundtrack"
nm0256399,Daniel Emilfork,1924,2006,actor
nm0900136,Judith Vittet,1984,\N,"costume_department,actress,costume_designer"
nm0684500,Dominique Pinon,1955,\N,"actor,soundtrack,music_department"
nm0001988,Marc Caro,1956,\N,"director,writer,actor"
nm0000466,Jean-Pierre Jeunet,1953,\N,"director,writer,producer"
nm0012496,Gilles Adrien,\N,\N,"writer,director,actor"
nm0491011,Guillaume Laurant,1961,\N,"writer,actor"
nm1069032,Félicie Dutertre,\N,\N,"director,writer,producer"
nm0943195,Yigong Wu,1938,2019,"director,actor,writer"
nm0000084,Gong Li,1965,\N,"actress,producer,miscellaneous"
nm0508349,Baotian Li,1946,\N,actor
nm0944507,Xiaoxiao Wang,\N,\N,actor
nm0508554,Xuejian Li,1954,\N,actor
nm0955443,Yimou Zhang,1951,\N,"director,writer,producer"
nm0270819,Feiyu Bi,\N,\N,writer
nm0944481,Li Xiao,\N,\N,writer
nm0549366,Yves Marmion,\N,\N,"producer,actor,miscellaneous"
nm0682177,Jean-Louis Piel,\N,2018,"producer,actor,assistant_director"
nm0171123,Lisa Coleman,1960,\N,"composer,soundtrack,music_department"
nm0000201,Michelle Pfeiffer,1958,\N,"actress,soundtrack,producer"
nm0001169,George Dzundza,1945,\N,"actor,assistant_director,soundtrack"
nm0005524,Courtney B. Vance,1960,\N,"actor,producer,soundtrack"
nm0000862,Robin Bartlett,1951,\N,"actress,miscellaneous"
nm0808807,John N. Smith,1943,\N,"director,producer,writer"
nm0425676,LouAnne Johnson,\N,\N,"writer,producer"
nm0000988,Jerry Bruckheimer,1943,\N,"producer,music_department,camera_department"
nm0800971,Don Simpson,1943,1996,"producer,actor,writer"
nm0118729,Paul Buckmaster,1946,2017,"composer,music_department,soundtrack"
nm0000246,Bruce Willis,1955,\N,"actor,producer,soundtrack"
nm0000656,Madeleine Stowe,1958,\N,"actress,director,writer"
nm0000093,Brad Pitt,1963,\N,"producer,actor,soundtrack"
nm0577828,Joseph Melito,\N,\N,actor
nm0000416,Terry Gilliam,1940,\N,"writer,actor,animation_department"
nm0003408,Chris Marker,1921,2012,"writer,director,editor"
nm0672459,David Webb Peoples,1940,\N,"writer,editor,director"
nm0672466,Janet Peoples,\N,\N,writer
nm0746273,Charles Roven,1949,\N,"producer,executive"
nm0922806,Nigel Westlake,1958,\N,"composer,music_department,soundtrack"
nm0000342,James Cromwell,1940,\N,"actor,producer,soundtrack"
nm0844294,Magda Szubanski,1961,\N,"actress,writer,producer"
nm0004815,Christine Cavanaugh,1963,2014,"actress,soundtrack"
nm0546816,Miriam Margolyes,1941,\N,"actress,soundtrack"
nm0003088,Chris Noonan,1952,\N,"writer,director,producer"
nm0455404,Dick King-Smith,1922,2011,writer
nm0004306,George Miller,1945,\N,"producer,writer,director"
nm0587964,Bill Miller,\N,\N,"producer,soundtrack"
nm0593294,Doug Mitchell,\N,\N,"producer,miscellaneous"
nm0005683,Roger Deakins,1949,\N,"cinematographer,camera_department,miscellaneous"
nm0000215,Susan Sarandon,1946,\N,"actress,producer,soundtrack"
nm0000576,Sean Penn,1960,\N,"actor,producer,director"
nm0698764,Robert Prosky,1930,2008,"actor,soundtrack"
nm0000209,Tim Robbins,1958,\N,"actor,producer,director"
nm0695878,Helen Prejean,1939,\N,"writer,actress,miscellaneous"
nm0453091,Jon Kilik,1956,\N,"producer,assistant_director,production_manager"
nm0799886,Rudd Simmons,\N,\N,"producer,production_manager,director"
nm0730321,David Robbins,1955,\N,"composer,music_department,soundtrack"
nm0958666,Kenneth Zunder,\N,\N,"cinematographer,camera_department,director"
nm0000263,Kirstie Alley,1951,2022,"actress,producer,writer"
nm0000430,Steve Guttenberg,1958,\N,"actor,producer,soundtrack"
nm0001581,Mary-Kate Olsen,1986,\N,"actress,producer,music_department"
nm0001580,Ashley Olsen,1986,\N,"actress,producer,music_department"
nm0855035,Andy Tennant,1955,\N,"producer,director,writer"
nm0204456,Deborah Dean Davis,\N,\N,"writer,producer,executive"
nm0189979,Jim Cruickshank,\N,\N,"writer,producer,miscellaneous"
nm0650561,James Orr,1953,\N,"writer,producer,director"
nm0285232,Sherman Foote,\N,\N,"music_department,composer,soundtrack"
nm0157096,Debra Chiate,\N,\N,"editor,editorial_department"
nm0000224,Alicia Silverstone,1976,\N,"actress,producer,soundtrack"
nm0001107,Stacey Dash,1967,\N,actress
nm0005261,Brittany Murphy,1977,2009,"actress,soundtrack,producer"
nm0748620,Paul Rudd,1969,\N,"actor,producer,writer"
nm0002132,Amy Heckerling,\N,\N,"writer,director,producer"
nm0492994,Robert Lawrence,\N,\N,"producer,executive"
nm0748784,Scott Rudin,1958,\N,"producer,miscellaneous,casting_director"
nm0457598,David Kitay,1961,\N,"composer,music_department,soundtrack"
nm0691084,Bill Pope,1952,\N,"cinematographer,director,camera_department"
nm0000290,John Barry,1933,2011,"music_department,soundtrack,composer"
nm0001321,Richard Harris,1930,2002,"actor,soundtrack,producer"
nm0000469,James Earl Jones,1931,\N,"actor,soundtrack"
nm0475100,Vusi Kunene,\N,\N,actor
nm0001165,Charles S. Dutton,1951,\N,"actor,producer,director"
nm0740213,Darrell Roodt,1962,\N,"director,writer,miscellaneous"
nm0367838,Ronald Harwood,1934,2020,"writer,actor,script_department"
nm0665704,Alan Paton,1903,1988,"writer,producer"
nm0802081,Anant Singh,\N,\N,"producer,miscellaneous,production_manager"
nm0869935,Harry Alan Towers,1920,2009,"producer,writer,production_manager"
nm0002303,Trevor Jones,1949,\N,"composer,music_department,soundtrack"
nm0005212,Ian McKellen,1939,\N,"actor,soundtrack,writer"
nm0100815,Christopher Bowen,\N,\N,actor
nm0223266,Edward Jewesbury,1917,2001,actor
nm0518644,Richard Loncraine,1946,\N,"director,writer,actor"
nm0264236,Richard Eyre,1943,\N,"director,producer,miscellaneous"
nm0063127,Stephen Bayly,1942,\N,"producer,director,actor"
nm0664179,Lisa Katselas,1959,\N,"producer,miscellaneous"
nm0000384,Danny Elfman,1953,\N,"music_department,soundtrack,composer"
nm0005478,Larenz Tate,1975,\N,"actor,producer,director"
nm0202966,Keith David,1956,\N,"actor,soundtrack,producer"
nm0000676,Chris Tucker,1971,\N,"actor,soundtrack,writer"
nm0135585,Freddy Rodríguez,\N,\N,"actor,producer"
nm0400436,Albert Hughes,1972,\N,"producer,director,writer"
nm0400441,Allen Hughes,1972,\N,"director,producer,writer"
nm0114285,Michael Henry Brown,\N,\N,"writer,producer,miscellaneous"
nm1088323,Wallace Terry,1938,2003,"writer,actor"
nm1428229,The Hughes Brothers,\N,\N,"producer,director"
nm0665466,Andy Paterson,1960,\N,"producer,assistant_director,writer"
nm0000375,Robert Downey Jr.,1965,\N,"actor,producer,soundtrack"
nm0000554,Sam Neill,1947,\N,"actor,producer,director"
nm0000667,David Thewlis,1963,\N,"actor,soundtrack,writer"
nm0908116,Polly Walker,1966,\N,"actress,soundtrack"
nm0001355,Michael Hoffman,1956,\N,"director,writer,producer"
nm0871857,Rose Tremain,1943,\N,"writer,soundtrack"
nm0910361,Rupert Walters,\N,\N,"writer,location_management"
nm0085502,Sarah Black,\N,\N,"producer,writer,miscellaneous"
nm0111225,Cary Brokaw,\N,\N,producer
nm0003392,George S. Clinton,1947,\N,"composer,music_department,soundtrack"
nm0000483,Christopher Lambert,1957,\N,"actor,producer,writer"
nm0795225,Robin Shou,1960,\N,"actor,director,writer"
nm0000798,Linden Ashby,1960,\N,"actor,director"
nm0846480,Cary-Hiroyuki Tagawa,1950,\N,"actor,producer,miscellaneous"
nm0027271,Paul W.S. Anderson,1965,\N,"writer,producer,director"
nm0095460,Ed Boon,1964,\N,"writer,miscellaneous,actor"
nm0864880,John Tobias,\N,\N,"writer,miscellaneous,art_department"
nm0238256,Kevin Droney,1948,\N,"writer,producer,script_department"
nm0440415,Lawrence Kasanoff,1959,\N,"producer,writer,director"
nm0004090,Eric Alan Edwards,1953,\N,"cinematographer,camera_department,actor"
nm0000173,Nicole Kidman,1967,\N,"actress,producer,soundtrack"
nm0000369,Matt Dillon,1964,\N,"actor,director,producer"
nm0001618,Joaquin Phoenix,1974,\N,"actor,producer,writer"
nm0000729,Casey Affleck,1975,\N,"actor,producer,writer"
nm0001814,Gus Van Sant,1952,\N,"director,producer,actor"
nm0562767,Joyce Maynard,1953,\N,"writer,actress"
nm0377750,Buck Henry,1930,2020,"writer,actor,producer"
nm0957205,Laura Ziskin,1950,2011,"producer,writer,miscellaneous"
nm0002353,Thomas Newman,1955,\N,"music_department,soundtrack,composer"
nm0000213,Winona Ryder,1971,\N,"actress,producer,soundtrack"
nm0000995,Ellen Burstyn,1932,\N,"actress,producer,soundtrack"
nm0000843,Anne Bancroft,1931,2005,"actress,soundtrack,director"
nm0185644,Kaelynn Craddick,\N,\N,actress
nm0602104,Jocelyn Moorhouse,1960,\N,"director,writer,producer"
nm0653307,Whitney Otto,1955,\N,writer
nm0026862,Jane Anderson,1954,\N,"writer,producer,miscellaneous"
nm0683579,Sarah Pillsbury,\N,\N,"producer,miscellaneous"
nm0762590,Midge Sanford,\N,\N,producer
nm0290358,Richard Francis-Bruce,1948,\N,"editor,editorial_department,sound_department"
nm0000151,Morgan Freeman,1937,\N,"actor,producer,soundtrack"
nm0000228,Kevin Spacey,1959,\N,"actor,producer,soundtrack"
nm0001825,Andrew Kevin Walker,1964,\N,"writer,actor,producer"
nm0000399,David Fincher,1962,\N,"producer,director,writer"
nm0138287,Phyllis Carlyle,1942,2022,"producer,casting_director,casting_department"
nm0465745,Arnold Kopelson,1935,2018,"producer,actor,miscellaneous"
nm0006290,Howard Shore,1946,\N,"music_department,soundtrack,composer"
nm0451787,Darius Khondji,1955,\N,"cinematographer,camera_department,actor"
nm0443855,Glen Keane,1954,\N,"animation_department,art_department,producer"
nm0000154,Mel Gibson,1956,\N,"actor,producer,director"
nm0001373,Linda Hunt,1945,\N,"actress,soundtrack"
nm0000288,Christian Bale,1974,\N,"actor,producer,soundtrack"
