nconst,primaryName,birthYear,deathYear,primaryProfession
nm1888062,Kay Lyon,\N,\N,actress
nm0711235,Fred Raskin,1973,\N,"editor,editorial_department,producer"
nm0420701,Erik Jendresen,\N,\N,"producer,writer,actor"
nm0215502,Richard Rionda Del Castro,1967,\N,"producer,writer,miscellaneous"
nm0549995,Johnny Marr,1963,\N,"soundtrack,composer,actor"
nm0445669,Jason Keller,1968,\N,"writer,producer,director"
nm2214893,Melisa Wallack,\N,\N,"writer,producer,director"
nm1982597,Rihanna,1988,\N,"music_artist,soundtrack,actress"
nm2131060,Brian Goldner,1963,2021,"producer,actor,writer"
nm2505733,Jeremy Chilnick,\N,\N,"producer,writer,miscellaneous"
nm0302266,Matthew Galkin,\N,\N,"producer,director,camera_department"
nm0002406,Harry Jay Knowles,1971,\N,"producer,actor,writer"
nm3274953,Lindsay Utz,\N,\N,"editor,editorial_department,miscellaneous"
nm4956436,Alex Libby,\N,\N,
nm4956884,Kelby Johnson,\N,\N,
nm5601087,Lona Johnson,\N,\N,miscellaneous
nm5601322,Bob Johnson,\N,\N,
nm1097276,Lee Hirsch,\N,\N,"director,producer,writer"
nm2697011,Cynthia Lowen,\N,\N,"producer,writer,director"
nm2513148,Bishop Allen,\N,\N,"soundtrack,cinematographer,composer"
nm1806375,Michael Furjanic,1979,\N,"sound_department,composer,music_department"
nm2427068,Jenny Golden,\N,\N,"editor,editorial_department,director"
nm0069063,Bob Bellion,1961,\N,"miscellaneous,producer,production_manager"
nm0923330,Tanya Wexler,1970,\N,"director,producer,executive"
nm0245791,Stephen Dyer,1965,\N,"producer,writer"
nm0550591,Jonah Lisa Dyer,1970,\N,"actress,writer"
nm2717555,Howard Gensler,\N,\N,"writer,producer"
nm1240204,Tracey Becker,\N,\N,"producer,miscellaneous"
nm3793155,Lee Seung-Gyu,\N,\N,director
nm0104376,Vanessa Branch,1973,\N,"actress,producer"
nm0089707,Steve Blum,1960,\N,"actor,miscellaneous,script_department"
nm0422247,Peter Jessop,1964,\N,"actor,miscellaneous"
nm0177328,Victor Cook,\N,\N,"director,producer,art_department"
nm1918538,Mike Disa,1965,\N,"animation_department,writer,art_department"
nm3259753,Sangjin Kim,\N,\N,"animation_department,art_department,director"
nm0613562,Shûkô Murase,\N,\N,"animation_department,director,writer"
nm0291821,Arthur Franz,1920,2006,actor
nm0285264,Dick Foran,1910,1979,"actor,soundtrack"
nm0357020,Brett Halsey,1933,\N,actor
nm0071560,Spencer Gordon Bennet,1893,1987,"director,producer,actor"
nm0359034,Orville H. Hampton,1917,1997,"writer,miscellaneous,cinematographer"
nm0704896,Jack Rabin,1914,1987,"visual_effects,special_effects,producer"
nm0329966,Alex Gordon,1922,2003,"producer,writer,casting_director"
nm0695435,Chris Pratt,1979,\N,"actor,soundtrack,producer"
nm1555340,Alison Brie,1982,\N,"actress,producer,soundtrack"
nm2546716,Riley Thomas Stewart,2002,\N,"actor,director,writer"
nm4313845,Catherine Chan,1999,\N,actress
nm1791785,David Kennedy,1942,2015,producer
nm0334381,Seth Grahame-Smith,1976,\N,"writer,producer,director"
nm2438557,Justin Moore-Lewy,\N,\N,producer
nm1963091,Evan Ross,1988,\N,"actor,soundtrack,producer"
nm2759438,Sharon Conley,\N,\N,"actress,producer"
nm0552595,Justin Martin,1994,\N,actor
