id,country_id
2,431
5,505
6,505
11,505
12,505
13,505
14,505
15,505
16,440
16,447
16,434
16,431
16,467
16,471
16,426
16,402
16,495
16,504
16,505
16,432
18,432
18,505
19,434
20,416
20,493
21,505
22,505
24,505
25,504
25,505
28,505
33,505
35,505
38,505
55,460
58,505
59,434
59,505
59,416
62,504
62,505
63,505
64,493
64,505
65,434
65,505
66,505
67,434
67,467
67,472
67,432
68,505
68,504
69,505
69,434
70,505
70,496
71,505
71,432
71,504
73,505
74,505
75,505
76,505
76,405
76,496
77,505
78,505
78,504
78,438
79,418
80,432
80,505
81,449
82,434
82,505
82,506
82,473
83,505
85,505
87,505
88,505
89,505
90,505
93,505
95,505
96,505
97,505
98,504
98,505
99,493
99,432
100,505
100,504
101,505
101,432
102,426
103,505
104,434
105,505
106,505
106,460
107,505
107,504
108,476
108,432
108,496
109,476
109,432
110,496
110,476
110,432
111,505
112,495
112,426
113,434
113,491
114,505
115,504
115,505
116,505
116,504
116,456
116,432
116,445
117,505
118,504
118,505
120,469
120,505
121,505
121,469
122,469
122,505
123,505
123,493
123,504
128,449
129,449
134,505
134,504
134,432
136,505
137,505
138,505
140,505
140,493
141,505
142,416
142,505
143,505
144,432
144,434
145,495
145,504
145,426
145,467
145,440
145,432
145,471
145,493
146,418
146,438
146,497
146,505
147,432
148,445
148,493
149,449
150,505
152,505
153,504
153,449
153,505
154,505
155,504
155,505
156,495
156,504
156,426
156,432
157,505
158,434
161,505
162,505
163,505
164,505
165,505
166,432
167,504
167,434
167,505
168,505
169,505
170,504
171,432
172,505
173,505
174,505
175,505
175,447
175,432
176,505
177,505
178,505
179,504
179,432
179,505
179,434
180,505
182,505
183,505
184,505
185,504
185,505
186,505
186,504
186,434
186,416
187,505
189,505
192,432
192,434
192,447
193,505
194,434
194,432
195,505
196,505
197,505
198,505
199,505
200,505
201,505
203,505
204,447
204,432
205,505
205,447
205,504
205,490
207,505
212,505
213,505
214,505
215,505
216,434
217,505
218,504
218,505
219,493
219,505
220,505
221,505
223,505
226,505
227,505
228,434
229,505
231,505
234,434
235,505
236,432
236,404
238,505
239,505
240,505
241,505
242,505
243,505
243,504
244,505
245,505
245,504
245,432
245,434
246,449
246,432
247,505
248,505
249,505
250,426
251,505
252,505
253,504
254,434
254,505
254,469
257,432
257,504
257,447
257,424
260,504
261,505
262,505
266,432
266,447
267,493
267,432
268,505
269,432
272,504
272,505
274,505
275,504
275,505
276,405
276,434
277,439
277,434
277,505
277,504
278,505
279,505
280,505
280,432
281,505
284,505
285,505
287,505
288,505
289,505
290,505
290,504
291,432
291,505
292,505
293,505
294,505
296,434
296,505
296,504
297,505
298,505
299,505
300,432
300,447
301,505
302,504
302,432
303,505
306,505
307,447
308,505
308,432
309,495
309,426
310,505
311,447
311,505
312,434
314,505
315,505
318,505
318,504
318,434
319,505
319,432
320,505
321,416
322,505
326,505
327,449
327,504
327,505
329,505
330,505
331,505
332,505
333,416
334,505
335,447
335,505
336,447
336,493
337,432
338,434
339,504
339,432
339,434
339,505
339,449
340,505
343,505
345,504
345,505
